Dist,Vel,Heading,Last
0.0,0.0,-1.7031111050198944,false,
0.0,0.0,-2.1350462840124385,false,
0.0,0.0,-2.5688817819409073,false,
0.0,0.0,-3.0045800968610172,false,
0.0,0.0,-3.442102542496466,false,
0.0,0.0,-3.88140925707385,false,
0.0,0.0,-4.322459214168406,false,
0.0,0.0,-4.765210234846348,false,
0.0,0.0,-5.20961900172236,false,
0.0,0.0,-5.655641074741512,false,
0.0,0.0,-6.10323090867761,false,
0.0,0.0,-6.552341872316986,false,
0.0,0.0,-7.002926269401797,false,
0.0,0.0,-7.4549353613996985,false,
0.0,0.0,-7.90831939187581,false,
0.0,0.0,-8.363027612647572,false,
0.0,0.0,-8.819008311589366,false,
0.0,0.0,-9.276208842174048,false,
0.0,0.0,-9.73457565456678,false,
0.0,0.0,-10.194054328380421,false,
0.0,0.0,-10.654589607030893,false,
0.0,0.0,-11.116125433489426,false,
0.0,0.0,-11.57860498763175,false,
0.0,0.0,-12.04197072496671,false,
0.0,0.0,-12.506164416702168,false,
0.0,0.0,-12.97112719110214,false,
0.0,0.0,-13.436799576133419,false,
0.0,0.0,-13.90312154317197,false,
0.0,0.0,-14.37003255188951,false,
0.0,0.0,-14.837471596032957,false,
0.0,0.0,-15.305377250222294,false,
0.0,0.0,-15.77368771746727,false,
0.0,0.0,-16.242340877547498,false,
0.0,0.0,-16.711274335884784,false,
0.0,0.0,-17.180425473080934,false,
0.0,0.0,-17.64973149488307,false,
0.0,0.0,-18.119129482434527,false,
0.0,0.0,-18.588556442874395,false,
0.0,0.0,-19.05794935998109,false,
0.0,0.0,-19.527245244988503,false,
0.0,0.0,-19.996381187204406,false,
0.0,0.0,-20.46529440455193,false,
0.0,0.0,-20.93392229391943,false,
0.0,0.0,-21.40220248097296,false,
0.0,0.0,-21.870072869689192,false,
0.0,0.0,-22.337471691205057,false,
0.0,0.0,-22.804337552113882,false,
0.0,0.0,-23.270609481948764,false,
0.0,0.0,-23.736226979873106,false,
0.0,0.0,-24.201130060394256,false,
0.0,0.0,-24.665259298178626,false,
0.0,0.0,-25.128555871680852,false,
0.0,0.0,-25.590961605662233,false,
0.0,0.0,-26.05241901241955,false,
0.0,0.0,-26.512871331857145,false,
0.0,0.0,-26.97226256998708,false,
0.0,0.0,-27.430537536188265,false,
0.0,0.0,-27.887641878902972,false,
0.0,0.0,-28.343522119766597,false,
0.0,0.0,-28.798125686330742,false,
0.0,0.0,-29.251400942971628,false,
0.0,0.0,-29.703297220269413,false,
0.0,0.0,-30.153764842792235,false,
0.0,0.0,-30.602755154974467,false,
0.0,0.0,-31.050220545433096,false,
0.0,0.0,-31.496114469651456,false,
0.0,0.0,-31.94039147055679,false,
0.0,0.0,-32.38300719785435,false,
0.0,0.0,-32.82391842523038,false,
0.0,0.0,-33.26308306596737,false,
0.0,0.0,-33.70046018688877,false,
0.0,0.0,-34.13601002051579,false,
0.0,0.0,-34.569693975534726,false,
0.0,0.0,-35.00147464561481,false,
0.0,0.0,-35.43131581657252,false,
0.0,0.0,-35.85918247202998,false,
0.0,0.0,-36.285040797224944,false,
0.0,0.0,-36.708858181559684,false,
0.0,0.0,-37.13060321948511,false,
0.0,0.0,-37.5502457099571,false,
0.0,0.0,-37.96775665446757,false,
0.0,0.0,-38.383108253655855,false,
0.0,0.0,-38.79627390268447,false,
0.0,0.0,-39.2072281852305,false,
0.0,0.0,-39.615946866300206,false,
